Interests,Skills,Goals,Budget,Location,University Match,Course
Psychology,Legal Analysis,Become a lawyer,High,Bologna,University of Bologna,Cognitive Neuroscience
Law,Counseling,Work in healthcare,High,Milan,University of Milan,Criminal Law
Engineering,Marketing,Start a business,High,Rome,Sapienza University of Rome,Civil Engineering
Biotechnology,Legal Analysis,Work in healthcare,Medium,Rome,Sapienza University of Rome,Biopharmaceuticals
Psychology,Legal Analysis,Start a business,Low,Milan,Politecnico di Milano,Cognitive Neuroscience
Biotechnology,Graphic Design,Work in healthcare,High,Bologna,University of Bologna,Biopharmaceuticals
Business,Marketing,Become a lawyer,High,Naples,University of Naples Federico II,Business Administration
Engineering,Legal Analysis,Start a business,High,Pisa,University of Pisa,Electrical Engineering
Engineering,Graphic Design,Design innovative products,Low,Pisa,University of Pisa,Civil Engineering
Biotechnology,Python,Work at a tech company,High,Turin,University of Turin,Biopharmaceuticals
Law,Mechanical Engineering,Work in healthcare,Low,Florence,University of Florence,International Law
AI,Legal Analysis,Work at a tech company,Medium,Florence,University of Florence,Machine Learning
Economics,Counseling,Help people with mental health,Medium,Florence,University of Florence,Microeconomics
Medicine,Counseling,Develop medical devices,High,Turin,University of Turin,General Medicine
Arts,Graphic Design,Develop medical devices,High,Milan,Bocconi University,Music
Arts,Counseling,Conduct economic research,Medium,Rome,Sapienza University of Rome,Fine Arts
Physics,Python,Conduct economic research,High,Pisa,University of Pisa,Astrophysics
Economics,Legal Analysis,Work in healthcare,Medium,Genoa,University of Genoa,Macroeconomics
Economics,Legal Analysis,Design innovative products,Medium,Rome,LUISS Business School,Microeconomics
Arts,Mechanical Engineering,Develop medical devices,High,Venice,Ca' Foscari University of Venice,Design
Business,Legal Analysis,Work in healthcare,Low,Pisa,University of Pisa,Finance
Medicine,Legal Analysis,Work in healthcare,High,Rome,LUISS Business School,General Medicine
Psychology,Python,Develop medical devices,High,Turin,Politecnico di Torino,Clinical Psychology
Economics,Financial Analysis,Design innovative products,Medium,Rome,Sapienza University of Rome,Microeconomics
Biotechnology,Biomedical Research,Become a lawyer,High,Florence,University of Florence,Biopharmaceuticals
Medicine,Python,Work in healthcare,Low,Florence,University of Florence,Pharmacology
Psychology,Biomedical Research,Work in healthcare,Medium,Rome,LUISS Business School,Clinical Psychology
Engineering,Graphic Design,Work at a tech company,Low,Turin,Politecnico di Torino,Mechanical Engineering
Engineering,Python,Work in healthcare,Medium,Turin,University of Turin,Mechanical Engineering
Law,Biomedical Research,Work in healthcare,Low,Rome,Roma Tre University,International Law
Medicine,Legal Analysis,Design innovative products,Low,Bologna,University of Bologna,Pharmacology
Medicine,Marketing,Start a business,High,Pisa,University of Pisa,General Medicine
AI,Python,Become a lawyer,Low,Venice,Ca' Foscari University of Venice,Artificial Intelligence
Economics,Financial Analysis,Become a lawyer,High,Genoa,University of Genoa,Macroeconomics
AI,Data Science,Start a business,Low,Venice,Ca' Foscari University of Venice,Artificial Intelligence
Business,Legal Analysis,Work in healthcare,Low,Naples,University of Naples Federico II,Entrepreneurship
Law,Marketing,Design innovative products,High,Florence,University of Florence,International Law
Business,Legal Analysis,Help people with mental health,Medium,Venice,Ca' Foscari University of Venice,Entrepreneurship
Law,Marketing,Work at a tech company,High,Milan,Bocconi University,Corporate Law
Medicine,Legal Analysis,Become a lawyer,Medium,Rome,Roma Tre University,Pharmacology
Arts,Financial Analysis,Become a lawyer,High,Rome,Roma Tre University,Music
Medicine,Python,Design innovative products,Medium,Turin,Politecnico di Torino,Surgery
Medicine,Counseling,Conduct economic research,High,Bologna,University of Bologna,Pharmacology
Engineering,Marketing,Develop medical devices,High,Florence,University of Florence,Civil Engineering
Business,Counseling,Design innovative products,Medium,Bologna,University of Bologna,Finance
Arts,Financial Analysis,Become a lawyer,Medium,Turin,Politecnico di Torino,Fine Arts
Economics,Counseling,Help people with mental health,Medium,Pisa,University of Pisa,Macroeconomics
Medicine,Python,Become a lawyer,High,Venice,Ca' Foscari University of Venice,General Medicine
AI,Data Science,Conduct economic research,Medium,Milan,University of Milan,Machine Learning
Economics,Counseling,Design innovative products,High,Rome,Sapienza University of Rome,Macroeconomics
Economics,Mechanical Engineering,Conduct economic research,Low,Genoa,University of Genoa,Macroeconomics
Medicine,Biomedical Research,Conduct economic research,High,Turin,Politecnico di Torino,Surgery
Law,Counseling,Conduct economic research,High,Naples,University of Naples Federico II,International Law
Business,Biomedical Research,Develop medical devices,Medium,Florence,University of Florence,Finance
Biotechnology,Financial Analysis,Work at a tech company,High,Rome,Roma Tre University,Biopharmaceuticals
Medicine,Marketing,Work at a tech company,Medium,Florence,University of Florence,Pharmacology
Medicine,Legal Analysis,Become a lawyer,Medium,Bologna,University of Bologna,Surgery
AI,Graphic Design,Work in healthcare,Medium,Turin,Politecnico di Torino,Data Science
Biotechnology,Data Science,Conduct economic research,Medium,Pisa,University of Pisa,Genetic Engineering
Economics,Financial Analysis,Work in healthcare,Medium,Pisa,University of Pisa,Microeconomics
Engineering,Marketing,Work in healthcare,High,Naples,University of Naples Federico II,Mechanical Engineering
Biotechnology,Marketing,Help people with mental health,Medium,Turin,Politecnico di Torino,Genetic Engineering
Engineering,Mechanical Engineering,Develop medical devices,Medium,Rome,Roma Tre University,Mechanical Engineering
Biotechnology,Marketing,Develop medical devices,Medium,Turin,University of Turin,Genetic Engineering
Arts,Data Science,Work in healthcare,High,Turin,University of Turin,Music
Engineering,Legal Analysis,Start a business,Low,Naples,University of Naples Federico II,Mechanical Engineering
Economics,Data Science,Develop medical devices,Medium,Genoa,University of Genoa,Microeconomics
Medicine,Biomedical Research,Design innovative products,Low,Naples,University of Naples Federico II,Surgery
Biotechnology,Graphic Design,Develop medical devices,Low,Bologna,University of Bologna,Biopharmaceuticals
Economics,Marketing,Help people with mental health,Low,Pisa,University of Pisa,Macroeconomics
Business,Legal Analysis,Conduct economic research,Medium,Genoa,University of Genoa,Entrepreneurship
Arts,Graphic Design,Help people with mental health,Low,Milan,Politecnico di Milano,Music
Psychology,Counseling,Work at a tech company,Low,Naples,University of Naples Federico II,Clinical Psychology
AI,Biomedical Research,Start a business,High,Pisa,University of Pisa,Machine Learning
Economics,Financial Analysis,Work in healthcare,Low,Bologna,University of Bologna,Macroeconomics
Business,Python,Work at a tech company,High,Pisa,University of Pisa,Finance
Psychology,Mechanical Engineering,Work at a tech company,Medium,Rome,Roma Tre University,Clinical Psychology
Physics,Python,Develop medical devices,Low,Milan,Bocconi University,Quantum Mechanics
Engineering,Counseling,Conduct economic research,Medium,Milan,University of Milan,Electrical Engineering
Biotechnology,Financial Analysis,Become a lawyer,Medium,Turin,Politecnico di Torino,Biopharmaceuticals
Economics,Legal Analysis,Conduct economic research,Low,Genoa,University of Genoa,Microeconomics
Business,Mechanical Engineering,Start a business,Low,Pisa,University of Pisa,Finance
Medicine,Python,Become a lawyer,Medium,Venice,Ca' Foscari University of Venice,General Medicine
Economics,Mechanical Engineering,Start a business,High,Pisa,University of Pisa,Macroeconomics
Physics,Data Science,Help people with mental health,High,Rome,Roma Tre University,Astrophysics
Arts,Legal Analysis,Work in healthcare,Medium,Venice,Ca' Foscari University of Venice,Design
Economics,Legal Analysis,Start a business,Medium,Genoa,University of Genoa,Microeconomics
Economics,Legal Analysis,Work in healthcare,Low,Venice,Ca' Foscari University of Venice,Microeconomics
Engineering,Graphic Design,Conduct economic research,Medium,Venice,Ca' Foscari University of Venice,Civil Engineering
Physics,Mechanical Engineering,Help people with mental health,High,Genoa,University of Genoa,Quantum Mechanics
Physics,Financial Analysis,Conduct economic research,Low,Genoa,University of Genoa,Astrophysics
Physics,Marketing,Become a lawyer,High,Milan,University of Milan,Astrophysics
Economics,Biomedical Research,Help people with mental health,High,Bologna,University of Bologna,Microeconomics
Physics,Data Science,Work in healthcare,High,Naples,University of Naples Federico II,Astrophysics
Biotechnology,Legal Analysis,Design innovative products,Low,Rome,Sapienza University of Rome,Genetic Engineering
Medicine,Mechanical Engineering,Conduct economic research,High,Genoa,University of Genoa,Surgery
Arts,Mechanical Engineering,Work at a tech company,High,Pisa,University of Pisa,Design
Business,Biomedical Research,Work at a tech company,High,Milan,Bocconi University,Business Administration
AI,Mechanical Engineering,Design innovative products,High,Turin,Politecnico di Torino,Artificial Intelligence
Business,Data Science,Help people with mental health,High,Turin,Politecnico di Torino,Business Administration
Law,Graphic Design,Design innovative products,High,Florence,University of Florence,Corporate Law
Psychology,Graphic Design,Become a lawyer,Medium,Genoa,University of Genoa,Clinical Psychology
Engineering,Counseling,Work at a tech company,High,Genoa,University of Genoa,Mechanical Engineering
Economics,Graphic Design,Develop medical devices,High,Florence,University of Florence,Microeconomics
Engineering,Python,Start a business,High,Florence,University of Florence,Civil Engineering
Law,Graphic Design,Help people with mental health,Low,Florence,University of Florence,International Law
Law,Data Science,Help people with mental health,High,Bologna,University of Bologna,Criminal Law
Arts,Marketing,Conduct economic research,Medium,Naples,University of Naples Federico II,Fine Arts
Physics,Counseling,Help people with mental health,High,Bologna,University of Bologna,Astrophysics
AI,Biomedical Research,Work at a tech company,High,Pisa,University of Pisa,Data Science
Economics,Mechanical Engineering,Conduct economic research,Medium,Pisa,University of Pisa,Macroeconomics
Engineering,Financial Analysis,Work in healthcare,High,Florence,University of Florence,Electrical Engineering
Economics,Biomedical Research,Become a lawyer,High,Florence,University of Florence,Macroeconomics
Economics,Counseling,Work at a tech company,Low,Florence,University of Florence,Macroeconomics
Physics,Legal Analysis,Develop medical devices,High,Florence,University of Florence,Quantum Mechanics
Biotechnology,Counseling,Help people with mental health,High,Rome,Sapienza University of Rome,Genetic Engineering
Psychology,Python,Start a business,High,Genoa,University of Genoa,Clinical Psychology
Arts,Graphic Design,Help people with mental health,Medium,Turin,Politecnico di Torino,Design
Biotechnology,Legal Analysis,Become a lawyer,Medium,Rome,Roma Tre University,Genetic Engineering
Physics,Data Science,Work in healthcare,Medium,Naples,University of Naples Federico II,Quantum Mechanics
AI,Marketing,Help people with mental health,Low,Rome,Roma Tre University,Artificial Intelligence
Psychology,Counseling,Design innovative products,Medium,Venice,Ca' Foscari University of Venice,Cognitive Neuroscience
Engineering,Marketing,Become a lawyer,Low,Pisa,University of Pisa,Electrical Engineering
AI,Python,Design innovative products,Low,Venice,Ca' Foscari University of Venice,Artificial Intelligence
AI,Biomedical Research,Conduct economic research,High,Genoa,University of Genoa,Artificial Intelligence
Biotechnology,Graphic Design,Work at a tech company,Low,Milan,University of Milan,Genetic Engineering
Business,Biomedical Research,Work at a tech company,High,Genoa,University of Genoa,Finance
Medicine,Data Science,Work at a tech company,Low,Rome,Sapienza University of Rome,General Medicine
Arts,Data Science,Help people with mental health,Low,Milan,University of Milan,Design
Business,Mechanical Engineering,Help people with mental health,Medium,Rome,LUISS Business School,Finance
Physics,Legal Analysis,Become a lawyer,Low,Naples,University of Naples Federico II,Astrophysics
Biotechnology,Biomedical Research,Work at a tech company,High,Genoa,University of Genoa,Genetic Engineering
Business,Financial Analysis,Start a business,High,Pisa,University of Pisa,Entrepreneurship
Physics,Counseling,Start a business,Medium,Venice,Ca' Foscari University of Venice,Astrophysics
Psychology,Python,Help people with mental health,Medium,Naples,University of Naples Federico II,Clinical Psychology
Physics,Data Science,Conduct economic research,Medium,Turin,University of Turin,Quantum Mechanics
Biotechnology,Data Science,Work in healthcare,Medium,Pisa,University of Pisa,Genetic Engineering
Biotechnology,Biomedical Research,Work at a tech company,Medium,Pisa,University of Pisa,Genetic Engineering
Psychology,Legal Analysis,Work in healthcare,Low,Venice,Ca' Foscari University of Venice,Cognitive Neuroscience
Medicine,Biomedical Research,Develop medical devices,Medium,Florence,University of Florence,Pharmacology
Economics,Counseling,Start a business,Medium,Bologna,University of Bologna,Macroeconomics
Physics,Financial Analysis,Become a lawyer,Low,Naples,University of Naples Federico II,Astrophysics
Law,Financial Analysis,Work in healthcare,Low,Venice,Ca' Foscari University of Venice,Criminal Law
Medicine,Marketing,Conduct economic research,Medium,Genoa,University of Genoa,Pharmacology
Medicine,Marketing,Develop medical devices,High,Bologna,University of Bologna,Pharmacology
Law,Marketing,Work at a tech company,Medium,Rome,Sapienza University of Rome,International Law
Biotechnology,Legal Analysis,Help people with mental health,High,Pisa,University of Pisa,Genetic Engineering
Physics,Biomedical Research,Work in healthcare,Low,Venice,Ca' Foscari University of Venice,Quantum Mechanics
